No.of threads, Time
1, 1849637397.000000
2, 894197103.000000
3, 909359299.000000
4, 482596568.000000
5, 477843161.000000
6, 324026114.000000
7, 385764748.000000
8, 370533567.000000
9, 305331199.000000
10, 304507141.000000
11, 256288802.000000
12, 261762255.000000
13, 251743838.000000
14, 229737189.000000
15, 240151142.000000
16, 221251082.000000
17, 216936934.000000
18, 200587428.000000
19, 199783750.000000
20, 205102729.000000
21, 211783678.000000
22, 242359837.000000
23, 233224816.000000
24, 225561979.000000
25, 216742346.000000
26, 219639452.000000
27, 207375874.000000
28, 197721114.000000
29, 201061160.000000
30, 208401259.000000
31, 203815608.000000
32, 189617591.000000
33, 194994668.000000
34, 194516167.000000
35, 190229882.000000
36, 193879732.000000
37, 201630234.000000
38, 194345208.000000
39, 195804030.000000
40, 193731127.000000
41, 188580861.000000
42, 192736749.000000
43, 188604226.000000
44, 191599397.000000
45, 188843677.000000
46, 193008697.000000
47, 189815613.000000
48, 192662994.000000
49, 192009304.000000
50, 194604028.000000
51, 189204740.000000
52, 186256402.000000
53, 192769579.000000
54, 196933730.000000
55, 187484406.000000
56, 192762352.000000
57, 194336553.000000
58, 192193627.000000
59, 190249939.000000
60, 194468927.000000
61, 194016063.000000
62, 198967030.000000
63, 196397403.000000
64, 200051884.000000
65, 200676895.000000
66, 205121943.000000
67, 201221321.000000
68, 207448236.000000
69, 206296929.000000
70, 210727349.000000
71, 206477818.000000
72, 209748473.000000
73, 210436165.000000
74, 213663190.000000
75, 215105319.000000
76, 215544657.000000
77, 212298388.000000
78, 213953786.000000
79, 215896862.000000
80, 220089351.000000
81, 221104972.000000
82, 222360793.000000
83, 190978929.000000
84, 226736193.000000
85, 225167973.000000
86, 227853239.000000
87, 226538558.000000
88, 230144651.000000
89, 229553935.000000
90, 229178983.000000
91, 232163951.000000
92, 229673382.000000
93, 226536882.000000
94, 228487102.000000
95, 230000779.000000
96, 229289613.000000
97, 236339489.000000
98, 228893983.000000
99, 189503226.000000
100, 229373003.000000
101, 238749489.000000
102, 235770143.000000
103, 226467630.000000
104, 195908226.000000
105, 197786975.000000
106, 237951710.000000
107, 196268004.000000
108, 192326803.000000
109, 196635085.000000
110, 242160509.000000
111, 238122688.000000
112, 239943928.000000
113, 237787037.000000
114, 235960586.000000
115, 246809254.000000
116, 242073258.000000
117, 193764136.000000
118, 243134575.000000
119, 242358864.000000
120, 207884576.000000
121, 232875144.000000
122, 196085683.000000
123, 189974408.000000
124, 243321012.000000
125, 245622210.000000
126, 243609702.000000
127, 250712858.000000
128, 244565570.000000
129, 247809338.000000
130, 246466023.000000
131, 242613592.000000
132, 256029234.000000
133, 219458665.000000
134, 243511147.000000
135, 244794964.000000
136, 246378074.000000
137, 235897199.000000
138, 253160751.000000
139, 245971495.000000
140, 245717044.000000
141, 250891037.000000
142, 255400516.000000
143, 246579181.000000
144, 228897247.000000
145, 196601358.000000
146, 350286200.000000
147, 331148292.000000
148, 482308694.000000
149, 489282729.000000
150, 481072433.000000
151, 486599479.000000
152, 478484628.000000
153, 486052910.000000
154, 485537537.000000
155, 472403349.000000
156, 470217623.000000
157, 491142519.000000
158, 475797034.000000
159, 480158118.000000
160, 476917509.000000
161, 474700516.000000
162, 479103521.000000
163, 469869119.000000
164, 477912465.000000
165, 470344113.000000
166, 472494533.000000
167, 467894969.000000
168, 461324358.000000
169, 462890514.000000
170, 465202071.000000
171, 463581618.000000
172, 467123447.000000
173, 465638024.000000
174, 468582310.000000
175, 469179268.000000
176, 466487320.000000
177, 460991419.000000
178, 465915497.000000
179, 466156067.000000
180, 459080661.000000
181, 473753538.000000
182, 461324629.000000
183, 468242000.000000
184, 468407583.000000
185, 468455587.000000
186, 461476401.000000
187, 459277406.000000
188, 464969376.000000
189, 459003062.000000
190, 456077903.000000
191, 465589194.000000
192, 477439855.000000
193, 463392862.000000
194, 463290773.000000
195, 470072626.000000
196, 467236080.000000
197, 469843752.000000
198, 458088943.000000
199, 455921360.000000
200, 453434428.000000
201, 456462335.000000
202, 451772261.000000
203, 454688130.000000
204, 446780673.000000
205, 461070748.000000
206, 448958535.000000
207, 453992777.000000
208, 455117813.000000
209, 454348691.000000
210, 453233572.000000
211, 448611075.000000
212, 456433818.000000
213, 452212646.000000
214, 454192864.000000
215, 449280679.000000
216, 456055465.000000
217, 454714342.000000
218, 446723399.000000
219, 448531983.000000
220, 454123652.000000
221, 448851950.000000
222, 454145911.000000
223, 448950810.000000
224, 446871665.000000
225, 449795895.000000
226, 450336625.000000
227, 449892597.000000
228, 451620116.000000
229, 443520410.000000
230, 447358930.000000
231, 447413657.000000
232, 448030095.000000
233, 444706526.000000
234, 447154495.000000
235, 451604848.000000
236, 446410540.000000
237, 443096209.000000
238, 443830360.000000
239, 444168491.000000
240, 443927511.000000
241, 445653537.000000
242, 442780251.000000
243, 448442091.000000
244, 441149844.000000
245, 439517270.000000
246, 441880063.000000
247, 443697232.000000
248, 443829848.000000
249, 441080688.000000
250, 439930165.000000
251, 435120151.000000
252, 445217559.000000
253, 440670736.000000
254, 440154546.000000
255, 440536462.000000
256, 439644302.000000
257, 439503573.000000
258, 440985124.000000
259, 434888166.000000
260, 437364627.000000
261, 440985556.000000
262, 443065387.000000
263, 440222966.000000
264, 435825422.000000
265, 433748740.000000
266, 438402399.000000
267, 441683126.000000
268, 438440727.000000
269, 441520287.000000
270, 433064961.000000
271, 442920551.000000
272, 436107636.000000
273, 437436847.000000
274, 442026314.000000
275, 437908879.000000
276, 436969163.000000
277, 435942729.000000
278, 443442100.000000
279, 439770180.000000
280, 436861709.000000
281, 438767286.000000
282, 438457179.000000
283, 435445842.000000
284, 439222709.000000
285, 436910646.000000
286, 435840735.000000
287, 432596572.000000
288, 463403975.000000
289, 432601148.000000
290, 432927885.000000
291, 431998837.000000
292, 436112255.000000
293, 436264584.000000
294, 435546500.000000
295, 433944333.000000
296, 437993900.000000
297, 436502967.000000
298, 436384110.000000
299, 441652435.000000
300, 437734653.000000
301, 433448651.000000
302, 440234498.000000
303, 431463099.000000
304, 436314965.000000
305, 435848605.000000
306, 439983515.000000
307, 435861609.000000
308, 461762512.000000
309, 430119653.000000
310, 425881840.000000
311, 449667646.000000
312, 438421885.000000
313, 427688351.000000
314, 432754317.000000
315, 431377431.000000
316, 429834185.000000
317, 449583859.000000
318, 434388553.000000
319, 432165980.000000
320, 437032263.000000
321, 427347552.000000
322, 433482564.000000
323, 433389925.000000
324, 432082521.000000
325, 458552099.000000
326, 430405967.000000
327, 436934661.000000
328, 432408150.000000
329, 426442423.000000
330, 432981043.000000
331, 427865050.000000
332, 440466054.000000
333, 431529516.000000
334, 432888738.000000
335, 435090412.000000
336, 426010352.000000
337, 430065100.000000
338, 436436064.000000
339, 430735653.000000
340, 429492400.000000
341, 429897331.000000
342, 442376269.000000
343, 428824225.000000
344, 439978547.000000
345, 427591385.000000
346, 429968818.000000
347, 427181648.000000
348, 455296885.000000
349, 427985210.000000
350, 428223678.000000
351, 449394751.000000
352, 425759403.000000
353, 436152164.000000
354, 429763153.000000
355, 432500105.000000
356, 423338744.000000
357, 431828776.000000
358, 441042575.000000
359, 424999642.000000
360, 426056950.000000
