No.of threads, Time
1, 1238841.000000
2, 548980.000000
3, 528495.000000
4, 415392.000000
5, 328089.000000
6, 321551.000000
7, 433529.000000
8, 465898.000000
9, 295607.000000
10, 315459.000000
11, 302048.000000
12, 276138.000000
13, 196998.000000
14, 248532.000000
15, 232928.000000
16, 262291.000000
17, 253235.000000
18, 253999.000000
19, 253248.000000
20, 253896.000000
21, 261771.000000
22, 265541.000000
23, 280208.000000
24, 279768.000000
25, 292624.000000
26, 314483.000000
27, 315632.000000
28, 338361.000000
29, 311091.000000
30, 354117.000000
31, 337468.000000
32, 361073.000000
33, 349502.000000
34, 360526.000000
35, 365661.000000
36, 372107.000000
37, 399774.000000
38, 394725.000000
39, 400344.000000
40, 410911.000000
41, 424273.000000
42, 426232.000000
43, 424229.000000
44, 439950.000000
45, 446601.000000
46, 446794.000000
47, 456765.000000
48, 486073.000000
49, 490468.000000
50, 480781.000000
51, 499940.000000
52, 501005.000000
53, 506675.000000
54, 561442.000000
55, 539879.000000
56, 536879.000000
57, 569276.000000
58, 563629.000000
59, 592183.000000
60, 581748.000000
61, 587865.000000
62, 614811.000000
63, 634603.000000
64, 663864.000000
65, 641659.000000
66, 648296.000000
67, 677152.000000
68, 674953.000000
69, 697645.000000
70, 679856.000000
71, 717927.000000
72, 704399.000000
73, 703381.000000
74, 737172.000000
75, 737814.000000
76, 753233.000000
77, 765240.000000
78, 774800.000000
79, 802413.000000
80, 792040.000000
81, 784117.000000
82, 802176.000000
83, 790379.000000
84, 826945.000000
85, 867014.000000
86, 859607.000000
87, 865034.000000
88, 880701.000000
89, 919250.000000
90, 858989.000000
91, 939486.000000
92, 966411.000000
93, 904450.000000
94, 1080288.000000
95, 944974.000000
96, 946780.000000
97, 1041026.000000
98, 1004342.000000
99, 998391.000000
100, 1025096.000000
