No.of threads, Time
1, 72455218.000000
2, 35075905.000000
3, 35576363.000000
4, 18068263.000000
5, 18406348.000000
6, 12909539.000000
7, 13894875.000000
8, 16201712.000000
9, 11156513.000000
10, 11217467.000000
11, 9969973.000000
12, 10278878.000000
13, 8641105.000000
14, 8894651.000000
15, 8540937.000000
16, 8005532.000000
17, 7874072.000000
18, 7268337.000000
19, 7063916.000000
20, 6508169.000000
21, 11584518.000000
22, 10543009.000000
23, 9941705.000000
24, 9754031.000000
25, 9657570.000000
26, 9225543.000000
27, 8807962.000000
28, 9052718.000000
29, 8381615.000000
30, 7862935.000000
31, 8119703.000000
32, 8428045.000000
33, 8292292.000000
34, 7689281.000000
35, 7605475.000000
36, 8186531.000000
37, 8662521.000000
38, 8325695.000000
39, 8024848.000000
40, 9989931.000000
41, 8873638.000000
42, 8841838.000000
43, 8601716.000000
44, 8663361.000000
45, 8520679.000000
46, 9335015.000000
47, 9139604.000000
48, 8686940.000000
49, 9239155.000000
50, 7800365.000000
51, 8703397.000000
52, 7459563.000000
53, 8235608.000000
54, 8421931.000000
55, 7452420.000000
56, 7516540.000000
57, 7534570.000000
58, 7468522.000000
59, 7559756.000000
60, 7795803.000000
61, 8621765.000000
62, 9042352.000000
63, 8238085.000000
64, 7894063.000000
65, 8355428.000000
66, 8060050.000000
67, 8930646.000000
68, 8980872.000000
69, 8476387.000000
70, 8218172.000000
71, 10462405.000000
72, 8079028.000000
73, 9044008.000000
74, 8935809.000000
75, 10189338.000000
76, 8829348.000000
77, 8126307.000000
78, 7999464.000000
79, 11043444.000000
80, 8809005.000000
81, 10054961.000000
82, 8344596.000000
83, 8213222.000000
84, 8574795.000000
85, 9619870.000000
86, 9248335.000000
87, 8587347.000000
88, 9041724.000000
89, 9768106.000000
90, 9622229.000000
91, 10110931.000000
92, 11549320.000000
93, 8488965.000000
94, 8914898.000000
95, 10909700.000000
96, 11104480.000000
97, 9486298.000000
98, 8027528.000000
99, 10641717.000000
100, 9497393.000000
101, 9514775.000000
102, 8399936.000000
103, 9964932.000000
104, 10364033.000000
105, 10864984.000000
106, 9006571.000000
107, 9424411.000000
108, 9066924.000000
109, 10423166.000000
110, 11633457.000000
111, 9565608.000000
112, 9159581.000000
113, 8239205.000000
114, 10103506.000000
115, 9845022.000000
116, 12032770.000000
117, 9995475.000000
118, 10068985.000000
119, 12297452.000000
120, 11403872.000000
121, 12465014.000000
122, 9585076.000000
123, 9989270.000000
124, 9789551.000000
125, 10301294.000000
126, 10433242.000000
127, 11247620.000000
128, 11390605.000000
129, 11392445.000000
130, 11050589.000000
131, 8278790.000000
132, 8459133.000000
133, 11688089.000000
134, 9885566.000000
135, 11003532.000000
136, 11768308.000000
137, 11403036.000000
138, 11694138.000000
139, 11669627.000000
140, 10782857.000000
141, 9816552.000000
142, 11222375.000000
143, 9794934.000000
144, 8554666.000000
145, 10053577.000000
146, 11899248.000000
147, 10153598.000000
148, 10998056.000000
149, 7816736.000000
150, 11254999.000000
151, 7739306.000000
152, 9877251.000000
153, 13132692.000000
154, 9822924.000000
155, 9692253.000000
156, 8715438.000000
157, 9497699.000000
158, 8977002.000000
159, 10886376.000000
160, 9390037.000000
161, 9639406.000000
162, 10170455.000000
163, 8854795.000000
164, 10775200.000000
165, 10811924.000000
166, 10587706.000000
167, 12238787.000000
168, 10579393.000000
169, 9263739.000000
170, 8881585.000000
171, 9712098.000000
172, 10932562.000000
173, 9423101.000000
174, 8986076.000000
175, 9088108.000000
176, 8920388.000000
177, 10916925.000000
178, 10690661.000000
179, 9297398.000000
180, 11134573.000000
181, 8752970.000000
182, 10009014.000000
183, 10571344.000000
184, 11778002.000000
185, 12062481.000000
186, 10213363.000000
187, 10407702.000000
188, 11396019.000000
189, 9689544.000000
190, 11198874.000000
191, 9722992.000000
192, 10254735.000000
193, 11816888.000000
194, 10760048.000000
195, 11042169.000000
196, 11885082.000000
197, 11622087.000000
198, 10615219.000000
199, 10850018.000000
200, 11588685.000000
201, 11291447.000000
202, 10875743.000000
203, 9371534.000000
204, 12205056.000000
205, 11855867.000000
206, 11067754.000000
207, 11541588.000000
208, 11387986.000000
209, 12068548.000000
210, 10950893.000000
211, 11549282.000000
212, 12028522.000000
213, 11455511.000000
214, 12335463.000000
215, 12121993.000000
216, 11701924.000000
217, 13054765.000000
218, 11586721.000000
219, 11058672.000000
220, 10516050.000000
221, 11797239.000000
222, 12126719.000000
223, 11140315.000000
224, 10800561.000000
225, 11814780.000000
226, 10878623.000000
227, 11853408.000000
228, 11785868.000000
229, 11632318.000000
230, 10877869.000000
231, 13499688.000000
232, 10081387.000000
233, 13176144.000000
234, 12605133.000000
235, 11105001.000000
236, 11891379.000000
237, 12934169.000000
238, 13909726.000000
239, 10961921.000000
240, 12713887.000000
241, 10851503.000000
242, 12625893.000000
243, 12648930.000000
244, 11303104.000000
245, 13379507.000000
246, 13115749.000000
247, 11940114.000000
248, 12517498.000000
249, 13256329.000000
250, 13371067.000000
251, 10948946.000000
252, 11231592.000000
253, 16232083.000000
254, 12648271.000000
255, 14973148.000000
256, 11609601.000000
257, 12951450.000000
258, 10871279.000000
259, 12117475.000000
260, 11685433.000000
261, 13591045.000000
262, 13220879.000000
263, 11263916.000000
264, 11735667.000000
265, 12491292.000000
266, 12841724.000000
267, 13045238.000000
268, 12835762.000000
269, 12158234.000000
270, 13239048.000000
271, 12852635.000000
272, 12352285.000000
273, 11288096.000000
274, 12541157.000000
275, 12067190.000000
276, 12391764.000000
277, 12546984.000000
278, 10630141.000000
279, 13471374.000000
280, 13329300.000000
281, 13037325.000000
282, 13181947.000000
283, 11503091.000000
284, 13132013.000000
285, 13076947.000000
286, 11165009.000000
287, 12810472.000000
288, 12623731.000000
289, 11493048.000000
290, 13968353.000000
291, 12323011.000000
292, 11546539.000000
293, 13984208.000000
294, 11318327.000000
295, 12076886.000000
296, 13633942.000000
297, 14842531.000000
298, 14161373.000000
299, 11429912.000000
300, 14714314.000000
301, 11645317.000000
302, 12942955.000000
303, 11193962.000000
304, 13578959.000000
305, 12315488.000000
306, 12032396.000000
307, 12787602.000000
308, 11985035.000000
309, 13441603.000000
310, 10958902.000000
311, 13309749.000000
312, 12573279.000000
313, 12559146.000000
314, 13583918.000000
315, 13625401.000000
316, 12938817.000000
317, 12943178.000000
318, 11688185.000000
319, 12981800.000000
320, 11279033.000000
321, 12212809.000000
322, 11730607.000000
323, 12569385.000000
324, 13359341.000000
325, 11879167.000000
326, 13388458.000000
327, 12294104.000000
328, 13056838.000000
329, 10674852.000000
330, 11322182.000000
331, 12179570.000000
332, 12193700.000000
333, 12649999.000000
334, 12799683.000000
335, 12804789.000000
336, 13455360.000000
337, 13274477.000000
338, 13096991.000000
339, 12717745.000000
340, 12656706.000000
341, 14119362.000000
342, 12243027.000000
343, 11960702.000000
344, 11731474.000000
345, 12154983.000000
346, 12163371.000000
347, 12019096.000000
348, 12279404.000000
349, 11397483.000000
350, 16232681.000000
351, 12121832.000000
352, 12074899.000000
353, 12887710.000000
354, 12319585.000000
355, 13072482.000000
356, 12466707.000000
357, 13104477.000000
358, 13249677.000000
359, 12466416.000000
360, 12177065.000000
361, 12574037.000000
362, 12258845.000000
363, 11785815.000000
364, 12028736.000000
365, 11872978.000000
366, 13265361.000000
367, 13717796.000000
368, 13937131.000000
369, 12565105.000000
370, 13014195.000000
371, 11906878.000000
372, 12933793.000000
373, 11174991.000000
374, 11997169.000000
375, 12520802.000000
376, 12387072.000000
377, 11803111.000000
378, 12144205.000000
379, 11822390.000000
380, 13267535.000000
381, 11368945.000000
382, 12050078.000000
383, 12832654.000000
384, 11678898.000000
385, 12569700.000000
386, 12375396.000000
387, 12919421.000000
388, 11126791.000000
389, 11434171.000000
390, 11682602.000000
391, 12042993.000000
392, 12576800.000000
393, 11720121.000000
394, 11460241.000000
395, 11809221.000000
396, 12693106.000000
397, 12560823.000000
398, 11678308.000000
399, 11670197.000000
400, 11342890.000000
401, 12098252.000000
402, 11845270.000000
403, 11586226.000000
404, 11672516.000000
405, 12552891.000000
406, 11497176.000000
407, 11490346.000000
408, 11770530.000000
409, 11395202.000000
410, 11888403.000000
411, 11018386.000000
412, 11579204.000000
413, 11913487.000000
414, 12194627.000000
415, 12136401.000000
416, 11681687.000000
417, 11329677.000000
418, 11988231.000000
419, 12119605.000000
420, 11280498.000000
421, 11534343.000000
422, 11825930.000000
423, 11010284.000000
424, 12482940.000000
425, 10684588.000000
426, 10994681.000000
427, 11598330.000000
428, 10460693.000000
429, 10682627.000000
430, 11624698.000000
431, 11111929.000000
432, 12213302.000000
433, 11340491.000000
434, 11039285.000000
435, 12061973.000000
436, 10444349.000000
437, 11374993.000000
438, 11475662.000000
439, 11484374.000000
440, 11759111.000000
441, 10765493.000000
442, 10560698.000000
443, 11343820.000000
444, 11149228.000000
445, 11477943.000000
446, 11367130.000000
447, 10978069.000000
448, 11533117.000000
449, 11937778.000000
450, 11986032.000000
451, 10678867.000000
452, 11302528.000000
453, 10285906.000000
454, 11255011.000000
455, 11250533.000000
456, 11793449.000000
457, 10574208.000000
458, 10812615.000000
459, 11752585.000000
460, 10844382.000000
461, 11552366.000000
462, 11924957.000000
463, 10461254.000000
464, 11247290.000000
465, 14090167.000000
466, 12288570.000000
467, 11638520.000000
468, 11219983.000000
469, 11905962.000000
470, 11271645.000000
471, 11725291.000000
472, 10837920.000000
473, 11377635.000000
474, 11331356.000000
475, 10709203.000000
476, 11511923.000000
477, 10510858.000000
478, 10796182.000000
479, 10277454.000000
480, 10934179.000000
481, 11487069.000000
482, 11830374.000000
483, 11005315.000000
484, 11296451.000000
485, 12560658.000000
486, 10855536.000000
487, 10422928.000000
488, 11005895.000000
489, 11493709.000000
490, 10811705.000000
491, 10656288.000000
492, 10208039.000000
493, 10458960.000000
494, 10858784.000000
495, 10129201.000000
496, 10566124.000000
497, 11301752.000000
498, 10427278.000000
499, 11422571.000000
500, 11540339.000000
501, 11604782.000000
502, 10802252.000000
503, 10847469.000000
504, 10756267.000000
505, 10233201.000000
506, 10823434.000000
507, 11301457.000000
508, 10934607.000000
509, 10801099.000000
510, 10945885.000000
511, 10132428.000000
512, 11176380.000000
513, 10909888.000000
514, 10602616.000000
515, 11117932.000000
516, 10441436.000000
517, 10430671.000000
518, 10884423.000000
519, 10595028.000000
520, 11617016.000000
521, 10190218.000000
522, 10089620.000000
523, 10225026.000000
524, 11391039.000000
525, 10610605.000000
526, 10368100.000000
527, 10493073.000000
528, 10177289.000000
529, 10014010.000000
530, 10094654.000000
531, 10635194.000000
532, 10505434.000000
533, 11720020.000000
534, 10376139.000000
535, 10326908.000000
536, 10111934.000000
537, 10650035.000000
538, 10478934.000000
539, 10598878.000000
540, 10349380.000000
541, 10604662.000000
542, 10847603.000000
543, 10648500.000000
544, 10560762.000000
545, 10297865.000000
546, 11667602.000000
547, 10800467.000000
548, 11250709.000000
549, 10629598.000000
550, 9740622.000000
551, 10765862.000000
552, 10027086.000000
553, 9928289.000000
554, 10022158.000000
555, 10251738.000000
556, 11387911.000000
557, 10564751.000000
558, 10788420.000000
559, 12152811.000000
560, 10941754.000000
561, 10668638.000000
562, 10877304.000000
563, 11450248.000000
564, 10640762.000000
565, 10563214.000000
566, 10912245.000000
567, 11002003.000000
568, 10785172.000000
569, 10729556.000000
570, 11036048.000000
571, 10530576.000000
572, 10644464.000000
573, 10880433.000000
574, 10664623.000000
575, 10903538.000000
576, 10920091.000000
577, 10748085.000000
578, 12241816.000000
579, 10605848.000000
580, 11043149.000000
581, 11129091.000000
582, 11293793.000000
583, 10851680.000000
584, 11416650.000000
585, 11256028.000000
586, 12043410.000000
587, 10761765.000000
588, 10998844.000000
589, 11086402.000000
590, 11071690.000000
591, 11010716.000000
592, 12157798.000000
593, 11307369.000000
594, 11346727.000000
595, 10948481.000000
596, 10899037.000000
597, 10581786.000000
598, 9694834.000000
599, 10529607.000000
600, 11736438.000000
601, 11442516.000000
602, 11441115.000000
603, 11299251.000000
604, 11063495.000000
605, 12571345.000000
606, 10876059.000000
607, 11144160.000000
608, 11396552.000000
609, 11043667.000000
610, 11066070.000000
611, 11407596.000000
612, 11206559.000000
613, 11259796.000000
614, 11268591.000000
615, 11107264.000000
616, 11425628.000000
617, 11410956.000000
618, 11207932.000000
619, 12003981.000000
620, 11754777.000000
621, 11475910.000000
622, 11615161.000000
623, 11362607.000000
624, 11427634.000000
625, 11376110.000000
626, 11235024.000000
627, 11499907.000000
628, 11507054.000000
629, 11524073.000000
630, 11583905.000000
631, 11277246.000000
632, 12541689.000000
633, 11534175.000000
634, 11497450.000000
635, 11482964.000000
636, 11653656.000000
637, 11733411.000000
638, 11983340.000000
639, 11602985.000000
640, 11746770.000000
641, 11912408.000000
642, 11695825.000000
643, 11753422.000000
644, 11875136.000000
645, 12861901.000000
646, 11631131.000000
647, 11818118.000000
648, 12740853.000000
649, 11714538.000000
650, 11692093.000000
651, 11684154.000000
652, 12133796.000000
653, 11876743.000000
654, 11749463.000000
655, 12032258.000000
656, 12116875.000000
657, 12999820.000000
658, 12109554.000000
659, 12000522.000000
660, 12088968.000000
661, 12038608.000000
662, 12104088.000000
663, 12014490.000000
664, 11952110.000000
665, 12260322.000000
666, 12182281.000000
667, 12079684.000000
668, 12312744.000000
669, 12175182.000000
670, 13055751.000000
671, 12168245.000000
672, 12095854.000000
673, 12087061.000000
674, 12218483.000000
675, 12326973.000000
676, 12477102.000000
677, 12766208.000000
678, 12402501.000000
679, 12317721.000000
680, 12389953.000000
681, 12439436.000000
682, 13525404.000000
683, 12385386.000000
684, 12429208.000000
685, 12641581.000000
686, 12546412.000000
687, 12744537.000000
688, 12579045.000000
689, 12734539.000000
690, 12817676.000000
691, 12517494.000000
692, 12539409.000000
693, 12963938.000000
694, 13715797.000000
695, 12556098.000000
696, 12395646.000000
697, 12661991.000000
698, 12881691.000000
699, 12246820.000000
700, 13051913.000000
701, 12536238.000000
702, 12678793.000000
703, 12647501.000000
704, 12880678.000000
705, 14116863.000000
706, 12826768.000000
707, 12816095.000000
708, 12677491.000000
709, 12796845.000000
710, 12627387.000000
711, 12861601.000000
712, 12881453.000000
713, 12962578.000000
714, 13148001.000000
715, 12774188.000000
716, 12675596.000000
717, 14063104.000000
718, 12601212.000000
719, 12868979.000000
720, 13432648.000000
721, 12652806.000000
722, 12936241.000000
723, 13269784.000000
724, 12984069.000000
725, 13023679.000000
726, 13261604.000000
727, 13271044.000000
728, 17025529.000000
729, 13954165.000000
730, 13226823.000000
731, 13492001.000000
732, 13340805.000000
733, 12883794.000000
734, 13085661.000000
735, 13426862.000000
736, 13286896.000000
737, 13526975.000000
738, 13546637.000000
739, 14925642.000000
740, 12862168.000000
741, 13413630.000000
742, 13551907.000000
743, 13364827.000000
744, 13891425.000000
745, 13627219.000000
746, 14082933.000000
747, 13583023.000000
748, 13780426.000000
749, 13587978.000000
750, 14819005.000000
751, 13857659.000000
752, 13591978.000000
753, 14671444.000000
754, 13696190.000000
755, 14052997.000000
756, 13913355.000000
757, 13916613.000000
758, 13557975.000000
759, 13774470.000000
760, 13824999.000000
761, 15210676.000000
762, 13902325.000000
763, 13864297.000000
764, 13910866.000000
765, 13726336.000000
766, 13945735.000000
767, 13908372.000000
768, 13984823.000000
769, 13545593.000000
770, 14262981.000000
771, 13793226.000000
772, 15006137.000000
773, 13881019.000000
774, 14020330.000000
775, 13830078.000000
776, 14272229.000000
777, 14434409.000000
778, 14200390.000000
779, 14289351.000000
780, 14162363.000000
781, 14157076.000000
782, 15236785.000000
783, 14098291.000000
784, 13808023.000000
785, 14366663.000000
786, 13811352.000000
787, 14117510.000000
788, 14078217.000000
789, 14400545.000000
790, 14489218.000000
791, 14617974.000000
792, 14553772.000000
793, 15108942.000000
794, 14523302.000000
795, 14940308.000000
796, 14843647.000000
797, 14777425.000000
798, 14711748.000000
799, 14638554.000000
800, 15621603.000000
801, 14958200.000000
802, 14686063.000000
803, 15821553.000000
804, 14425661.000000
805, 14590963.000000
806, 14658772.000000
807, 14304294.000000
808, 14424888.000000
809, 14675240.000000
810, 14755714.000000
811, 14445513.000000
812, 14484196.000000
813, 15566601.000000
814, 14142047.000000
815, 14564168.000000
816, 14581488.000000
817, 14623043.000000
818, 14959596.000000
819, 15016810.000000
820, 14532024.000000
821, 14779492.000000
822, 14988098.000000
823, 15741416.000000
824, 14838597.000000
825, 15246134.000000
826, 14825113.000000
827, 14828621.000000
828, 14841549.000000
829, 15080469.000000
830, 15144052.000000
831, 15055272.000000
832, 15134647.000000
833, 16163487.000000
834, 14735400.000000
835, 14945760.000000
836, 14980440.000000
837, 15145454.000000
838, 14897105.000000
839, 14801923.000000
840, 15109964.000000
841, 15253859.000000
842, 15081161.000000
843, 16012588.000000
844, 14897845.000000
845, 15068662.000000
846, 14920280.000000
847, 15085768.000000
848, 15129113.000000
849, 15404697.000000
850, 15460368.000000
851, 15557040.000000
852, 15415904.000000
853, 16566745.000000
854, 14076462.000000
855, 13858651.000000
856, 13433003.000000
857, 14207057.000000
858, 16362276.000000
859, 15615698.000000
860, 16224933.000000
861, 16086401.000000
862, 16318600.000000
863, 15745980.000000
864, 15476401.000000
865, 15510175.000000
866, 15525646.000000
867, 16459000.000000
868, 18046306.000000
869, 15702646.000000
870, 15768732.000000
871, 15940276.000000
872, 17002505.000000
873, 16087091.000000
874, 15816744.000000
875, 16219698.000000
876, 15903193.000000
877, 15704563.000000
878, 15664369.000000
879, 16174655.000000
880, 15874036.000000
881, 16838178.000000
882, 15989626.000000
883, 16119249.000000
884, 16073640.000000
885, 15878120.000000
886, 16496315.000000
887, 16323227.000000
888, 16149477.000000
889, 16189803.000000
890, 17045381.000000
891, 15823185.000000
892, 16164843.000000
893, 16340429.000000
894, 16392114.000000
895, 16201480.000000
896, 16599593.000000
897, 16083514.000000
898, 16365379.000000
899, 17313295.000000
900, 16272031.000000
901, 16471988.000000
902, 16329612.000000
903, 16717706.000000
904, 16458376.000000
905, 17051224.000000
906, 16514468.000000
907, 16656662.000000
908, 17344908.000000
909, 16369767.000000
910, 16035458.000000
911, 16526413.000000
912, 16923503.000000
913, 16538636.000000
914, 16684788.000000
915, 16289084.000000
916, 16757156.000000
917, 17863721.000000
918, 16666616.000000
919, 16579739.000000
920, 17089634.000000
921, 17200419.000000
922, 16751451.000000
923, 16785320.000000
924, 16983816.000000
925, 16899037.000000
926, 17766198.000000
927, 16980191.000000
928, 16947251.000000
929, 22054372.000000
930, 17177835.000000
931, 16862058.000000
932, 17278546.000000
933, 16967634.000000
934, 17044434.000000
935, 17990876.000000
936, 17016894.000000
937, 16823957.000000
938, 17295601.000000
939, 17254656.000000
940, 17234102.000000
941, 17317825.000000
942, 17071250.000000
943, 17229751.000000
944, 18244944.000000
945, 17329132.000000
946, 17142764.000000
947, 17008029.000000
948, 17032351.000000
949, 16782067.000000
950, 16909748.000000
951, 17195546.000000
952, 18334194.000000
953, 17375555.000000
954, 17578090.000000
955, 17293058.000000
956, 17559665.000000
957, 17899015.000000
958, 17333039.000000
959, 17675028.000000
960, 17389547.000000
961, 18491127.000000
962, 17458356.000000
963, 17793224.000000
964, 17373279.000000
965, 17717559.000000
966, 17832551.000000
967, 17515467.000000
968, 17702253.000000
969, 18727258.000000
970, 17346106.000000
971, 18125542.000000
972, 17662616.000000
973, 17675828.000000
974, 17854568.000000
975, 17648632.000000
976, 17658985.000000
977, 17819087.000000
978, 18938491.000000
979, 18312375.000000
980, 18094448.000000
981, 17641997.000000
982, 17615152.000000
983, 17954326.000000
984, 17558235.000000
985, 18082296.000000
986, 19966197.000000
987, 19370079.000000
988, 17395328.000000
989, 17614921.000000
990, 18083158.000000
991, 17910758.000000
992, 18112574.000000
993, 18004664.000000
994, 17762816.000000
995, 18981105.000000
996, 18116326.000000
997, 18315715.000000
998, 18269718.000000
999, 18143569.000000
1000, 18364960.000000
