Workload size, Turnaround time P1, Turnaround time P2
8000, 5382055.000000, 3211744.000000
125000, 3331868.000000, 3193436.000000
1000000, 5453335.000000, 6497835.000000
125000000, 14178159.000000, 57036894.000000
1000000000, 36733602.000000, 348787408.000000
