Workload size, Waiting time P1, Waiting time P2
8000, 2382055.000000, 1211744.000000
125000, 1331868.000000, 1193436.000000
1000000, 2453335.000000, 2497835.000000
125000000, 7178159.000000, 15036894.000000
1000000000, 19733602.000000, 52787408.000000
