Workload size, Waiting time P1, Waiting time P2
8000, 2246664.000000, 2235158.000000
125000, 2518385.000000, 2352692.000000
1000000, 2399833.000000, 2253739.000000
125000000, 6751333.000000, 12222093.000000
1000000000, 19958496.000000, 37060601.000000
