No.of threads, Time
1, 71248427.000000
2, 38618855.000000
3, 38449088.000000
4, 30372944.000000
5, 20656357.000000
6, 19643126.000000
7, 20344687.000000
8, 14805050.000000
9, 17831441.000000
10, 12168330.000000
11, 12935868.000000
12, 17850957.000000
13, 11447119.000000
14, 10108457.000000
15, 9618171.000000
16, 12289654.000000
17, 14053259.000000
18, 12082717.000000
19, 17542147.000000
20, 12827156.000000
21, 12390273.000000
22, 11907619.000000
23, 15113339.000000
24, 10563647.000000
25, 17202746.000000
26, 14077040.000000
27, 14133677.000000
28, 13472415.000000
29, 13471409.000000
30, 14576551.000000
31, 11448332.000000
32, 12731089.000000
33, 12057446.000000
34, 10637437.000000
35, 13885556.000000
36, 11886348.000000
37, 12618828.000000
38, 10413474.000000
39, 10683906.000000
40, 10300670.000000
41, 9721015.000000
42, 13129364.000000
43, 10460604.000000
44, 10171828.000000
45, 13104481.000000
46, 12292557.000000
47, 10164742.000000
48, 11773048.000000
49, 12806411.000000
50, 11218635.000000
51, 13056000.000000
52, 12779882.000000
53, 10323278.000000
54, 11052423.000000
55, 10686880.000000
56, 9410201.000000
57, 10796495.000000
58, 14219642.000000
59, 9905935.000000
60, 14013596.000000
61, 16073763.000000
62, 10132291.000000
63, 15420576.000000
64, 13843136.000000
65, 10815228.000000
66, 12147430.000000
67, 14340083.000000
68, 11423030.000000
69, 14890740.000000
70, 11846417.000000
71, 16180400.000000
72, 12210087.000000
73, 15698505.000000
74, 14261409.000000
75, 14067869.000000
76, 14781372.000000
77, 16546626.000000
78, 9178171.000000
79, 15073928.000000
80, 14025164.000000
81, 16511361.000000
82, 16015621.000000
83, 12230868.000000
84, 11260733.000000
85, 16243116.000000
86, 13595183.000000
87, 15468355.000000
88, 18643011.000000
89, 11918261.000000
90, 11958873.000000
91, 15702777.000000
92, 10446756.000000
93, 15121379.000000
94, 12237390.000000
95, 16112148.000000
96, 12388049.000000
97, 15451343.000000
98, 12379846.000000
99, 15398505.000000
100, 18008071.000000
101, 16604579.000000
102, 14371551.000000
103, 15311973.000000
104, 15566699.000000
105, 13742165.000000
106, 18984369.000000
107, 10380371.000000
108, 16120884.000000
109, 12662137.000000
110, 20057490.000000
111, 12417082.000000
112, 14299006.000000
113, 19190384.000000
114, 15141353.000000
115, 15399089.000000
116, 19692225.000000
117, 15628027.000000
118, 14457409.000000
119, 15574893.000000
120, 15963180.000000
121, 13408950.000000
122, 13761610.000000
123, 12593983.000000
124, 13966535.000000
125, 11781080.000000
126, 15137913.000000
127, 13894834.000000
128, 10052609.000000
129, 12565380.000000
130, 11859383.000000
131, 10088702.000000
132, 11774894.000000
133, 14402035.000000
134, 10882475.000000
135, 18306980.000000
136, 11355917.000000
137, 17163431.000000
138, 10420315.000000
139, 16112843.000000
140, 12483115.000000
141, 15684120.000000
142, 13858593.000000
143, 15964941.000000
144, 14441698.000000
145, 13567647.000000
146, 18605579.000000
147, 13410527.000000
148, 15881309.000000
149, 17711386.000000
150, 18620892.000000
151, 17119774.000000
152, 14459332.000000
153, 18668656.000000
154, 17855877.000000
155, 17235141.000000
156, 17838443.000000
157, 14601929.000000
158, 14969334.000000
159, 15049266.000000
160, 11328279.000000
161, 21520082.000000
162, 11483142.000000
