No.of threads, Time
1, 276622.000000
2, 252750.000000
3, 165178.000000
4, 76758.000000
5, 175461.000000
6, 197435.000000
7, 115359.000000
8, 104313.000000
9, 93930.000000
10, 109508.000000
11, 131777.000000
12, 118937.000000
13, 142560.000000
14, 136119.000000
15, 166951.000000
16, 158731.000000
17, 183231.000000
18, 187147.000000
19, 201523.000000
20, 219209.000000
21, 225352.000000
22, 239517.000000
23, 248720.000000
24, 282782.000000
25, 276379.000000
26, 260311.000000
27, 277124.000000
28, 321486.000000
29, 337813.000000
30, 1664388.000000
31, 460732.000000
32, 505007.000000
33, 492674.000000
34, 528596.000000
35, 525348.000000
36, 555693.000000
37, 512529.000000
38, 543229.000000
39, 557752.000000
40, 552650.000000
41, 597048.000000
42, 588298.000000
43, 566033.000000
44, 611250.000000
45, 759516.000000
46, 774578.000000
47, 773827.000000
48, 874216.000000
49, 831679.000000
50, 907011.000000
51, 852169.000000
52, 870373.000000
53, 885316.000000
54, 1002110.000000
55, 828698.000000
56, 827890.000000
57, 973734.000000
58, 1407793.000000
59, 1123969.000000
60, 994048.000000
61, 966626.000000
62, 1099887.000000
63, 1012071.000000
64, 1188543.000000
65, 1079902.000000
66, 1204886.000000
67, 1224801.000000
68, 1263741.000000
69, 1224347.000000
70, 1151285.000000
71, 1222011.000000
72, 1207278.000000
73, 1267640.000000
74, 1296524.000000
75, 1462922.000000
76, 1422976.000000
77, 1504917.000000
78, 1458622.000000
79, 1262967.000000
80, 1358114.000000
81, 1379994.000000
82, 1348331.000000
83, 1454852.000000
84, 1372773.000000
85, 1407971.000000
86, 1415530.000000
87, 1589869.000000
88, 1517702.000000
89, 1607473.000000
90, 1661974.000000
91, 1591353.000000
92, 1515720.000000
93, 1636625.000000
94, 1638322.000000
95, 1703489.000000
96, 2045201.000000
97, 2091524.000000
98, 1709734.000000
99, 1816068.000000
100, 1802632.000000
101, 1721172.000000
102, 1705617.000000
103, 1752178.000000
104, 1673291.000000
105, 1807906.000000
106, 2114604.000000
107, 2207261.000000
108, 1498342.000000
109, 1389674.000000
110, 1571855.000000
111, 1464706.000000
112, 1550696.000000
113, 1624877.000000
114, 2155104.000000
115, 2285433.000000
116, 2488445.000000
117, 2489080.000000
118, 2609061.000000
119, 2106683.000000
120, 2052709.000000
121, 2257428.000000
122, 2142403.000000
123, 2081637.000000
124, 2650272.000000
125, 3542423.000000
126, 2274457.000000
127, 2242611.000000
128, 2694514.000000
129, 2491578.000000
130, 2358444.000000
131, 2341629.000000
132, 2257868.000000
133, 2339949.000000
134, 2247728.000000
135, 2535402.000000
136, 2607833.000000
137, 2837499.000000
138, 2947307.000000
139, 2805446.000000
140, 4707988.000000
141, 4375406.000000
142, 1600565.000000
143, 1686039.000000
144, 1761835.000000
145, 1677812.000000
146, 1720371.000000
147, 1738138.000000
148, 1737034.000000
149, 1705376.000000
150, 1700314.000000
151, 1898957.000000
152, 2759969.000000
153, 2877391.000000
154, 2866560.000000
155, 2116463.000000
156, 1818173.000000
157, 1784836.000000
158, 1799173.000000
159, 1806173.000000
160, 1853486.000000
161, 2143743.000000
162, 1891686.000000
163, 1929076.000000
164, 2016356.000000
165, 2269832.000000
166, 2483264.000000
167, 3635477.000000
168, 3114519.000000
169, 3250119.000000
170, 3069499.000000
171, 3397912.000000
172, 3824490.000000
173, 3303510.000000
174, 2894855.000000
175, 2952445.000000
176, 3284426.000000
177, 3150427.000000
178, 3311138.000000
179, 4808623.000000
180, 3096531.000000
181, 3244361.000000
182, 3253180.000000
183, 3250589.000000
184, 3882281.000000
185, 3311467.000000
186, 3156987.000000
187, 3454938.000000
188, 3139673.000000
189, 3547281.000000
190, 3703975.000000
191, 3367851.000000
192, 3520218.000000
193, 3488326.000000
194, 3966263.000000
195, 3528247.000000
196, 3386641.000000
197, 3495086.000000
198, 3724386.000000
199, 3622308.000000
200, 3649910.000000
