No.of threads, Time
1, 1463426039.000000
2, 709956337.000000
3, 487272125.000000
4, 379936134.000000
5, 318011207.000000
6, 267103200.000000
7, 314642522.000000
8, 270460817.000000
9, 242584984.000000
10, 220725156.000000
11, 204667233.000000
12, 188497427.000000
13, 244236107.000000
14, 197315820.000000
15, 195370987.000000
16, 184936749.000000
17, 173726584.000000
18, 184896031.000000
19, 175315032.000000
20, 185709091.000000
21, 171232161.000000
22, 223492973.000000
23, 165445450.000000
24, 189048942.000000
25, 161909705.000000
26, 182762492.000000
27, 160245250.000000
28, 179124419.000000
29, 166326344.000000
30, 168612720.000000
31, 168217624.000000
32, 160259327.000000
33, 161560830.000000
34, 170301849.000000
35, 159582957.000000
36, 158377722.000000
37, 165288869.000000
38, 164847925.000000
39, 158139871.000000
40, 164779010.000000
41, 159985428.000000
42, 173345263.000000
43, 182573124.000000
44, 168081319.000000
45, 159992475.000000
46, 162393120.000000
47, 170768013.000000
48, 172866911.000000
49, 167401128.000000
50, 165534460.000000
51, 169164153.000000
52, 179518714.000000
53, 163596427.000000
54, 196905823.000000
55, 173161235.000000
56, 168064106.000000
57, 172490729.000000
58, 171061883.000000
59, 174362475.000000
60, 179901438.000000
61, 194158555.000000
62, 174936500.000000
63, 175241811.000000
64, 176759349.000000
65, 195913017.000000
66, 179269580.000000
67, 174774392.000000
68, 171606500.000000
69, 176039623.000000
70, 176546717.000000
71, 176635447.000000
72, 179070355.000000
73, 176648825.000000
74, 184022771.000000
75, 172653942.000000
76, 180019630.000000
77, 170705932.000000
78, 186119992.000000
79, 178985918.000000
80, 180065064.000000
81, 179455621.000000
82, 176008389.000000
83, 178275853.000000
84, 202040705.000000
85, 305885546.000000
86, 355189752.000000
87, 415794970.000000
88, 481365320.000000
89, 492665780.000000
90, 522012177.000000
91, 537862747.000000
92, 526998381.000000
93, 508830136.000000
94, 505931262.000000
95, 528174017.000000
96, 519763366.000000
97, 519819981.000000
98, 532296408.000000
99, 489948369.000000
100, 507287971.000000
101, 589854598.000000
102, 502121626.000000
103, 548892003.000000
104, 516739596.000000
105, 497413288.000000
106, 501862438.000000
107, 510083756.000000
108, 537887882.000000
109, 521862563.000000
110, 508003278.000000
111, 492009417.000000
112, 517468488.000000
113, 520291978.000000
114, 492383337.000000
115, 495873531.000000
116, 485274116.000000
117, 508899013.000000
118, 488342170.000000
119, 499229145.000000
120, 510413824.000000
121, 554865120.000000
122, 574593207.000000
123, 522806550.000000
124, 518679182.000000
125, 479324434.000000
126, 498274224.000000
127, 516237067.000000
128, 489679965.000000
129, 501824355.000000
130, 527962378.000000
131, 482540846.000000
132, 447250183.000000
133, 474837988.000000
134, 475113565.000000
135, 462990361.000000
136, 455275696.000000
137, 467134528.000000
138, 442762342.000000
139, 487333650.000000
140, 474669361.000000
141, 476839536.000000
142, 477047229.000000
143, 471441696.000000
144, 459187083.000000
145, 468611459.000000
146, 461607686.000000
147, 463231360.000000
148, 470863485.000000
149, 483548883.000000
150, 436631132.000000
151, 488070064.000000
152, 465566359.000000
153, 438345376.000000
154, 451290268.000000
155, 506298303.000000
156, 464524494.000000
157, 462791536.000000
158, 456730754.000000
159, 445868805.000000
160, 458378927.000000
161, 456278859.000000
162, 493127987.000000
163, 476741308.000000
164, 460608957.000000
165, 450739885.000000
166, 462952600.000000
167, 466859401.000000
168, 439862916.000000
