No.of threads, Time
1, 18413404.000000
2, 12685363.000000
3, 13595101.000000
4, 5632260.000000
5, 6878401.000000
6, 5531741.000000
7, 4785398.000000
8, 4007683.000000
9, 6372380.000000
10, 3622211.000000
11, 3247186.000000
12, 5315787.000000
13, 5745848.000000
14, 2450281.000000
15, 2343286.000000
16, 2134660.000000
17, 2074553.000000
18, 2099379.000000
19, 2952242.000000
20, 5056688.000000
21, 4237627.000000
22, 4534404.000000
23, 2816825.000000
24, 2872749.000000
25, 3688325.000000
26, 3625265.000000
27, 3556796.000000
28, 3955797.000000
29, 5776462.000000
30, 3711920.000000
31, 3583268.000000
32, 5281193.000000
33, 3927570.000000
34, 3382794.000000
35, 3656758.000000
36, 2753014.000000
37, 2600798.000000
38, 2796686.000000
39, 3273989.000000
40, 3279561.000000
41, 3264890.000000
42, 4015659.000000
43, 3072284.000000
44, 3090952.000000
45, 2983235.000000
46, 5881045.000000
47, 4050619.000000
48, 4722609.000000
49, 4605792.000000
50, 3221962.000000
51, 2561874.000000
52, 2922377.000000
53, 5717164.000000
54, 5320678.000000
55, 2951253.000000
56, 4179559.000000
57, 4319374.000000
58, 3056487.000000
59, 6025548.000000
60, 6744463.000000
61, 4235755.000000
62, 3428480.000000
63, 2603200.000000
64, 2726517.000000
65, 2481381.000000
66, 2982392.000000
67, 3836950.000000
68, 4246424.000000
69, 5400940.000000
70, 3725481.000000
71, 5491373.000000
72, 2783278.000000
73, 2773226.000000
74, 5938458.000000
75, 4099860.000000
76, 4182881.000000
77, 3446869.000000
78, 2718890.000000
79, 2849266.000000
80, 3883976.000000
81, 4606959.000000
82, 5327275.000000
83, 3270970.000000
84, 3636986.000000
85, 3413624.000000
86, 6486869.000000
87, 6551375.000000
88, 4960057.000000
89, 4328133.000000
90, 3199286.000000
91, 7926169.000000
92, 3562078.000000
93, 5366143.000000
94, 3946611.000000
95, 4307762.000000
96, 4884725.000000
97, 6151519.000000
98, 4331911.000000
99, 8077919.000000
100, 3082186.000000
101, 6497797.000000
102, 2844308.000000
103, 7176608.000000
104, 3622326.000000
105, 4176267.000000
106, 4728261.000000
107, 3803285.000000
108, 4675081.000000
109, 4374370.000000
110, 6759870.000000
111, 4308438.000000
112, 4381966.000000
113, 3529227.000000
114, 4674563.000000
115, 4795363.000000
116, 4761547.000000
117, 4179075.000000
118, 4729832.000000
119, 9851463.000000
120, 4669762.000000
121, 6080895.000000
122, 4808914.000000
123, 4521980.000000
124, 3089240.000000
125, 3479349.000000
126, 2736249.000000
127, 11520333.000000
128, 7078672.000000
129, 5928670.000000
130, 4389007.000000
131, 2677069.000000
132, 3869332.000000
133, 4247019.000000
134, 7616015.000000
135, 4901419.000000
136, 3406025.000000
