No.of threads, Time
1, 383548.000000
2, 211408.000000
3, 251834.000000
4, 248829.000000
5, 168105.000000
6, 198828.000000
7, 151899.000000
8, 265161.000000
9, 196289.000000
10, 176352.000000
11, 151458.000000
12, 155403.000000
13, 157422.000000
14, 162235.000000
15, 172797.000000
16, 172688.000000
17, 183652.000000
18, 206289.000000
19, 232418.000000
20, 225463.000000
21, 221657.000000
22, 240902.000000
23, 246996.000000
24, 260439.000000
25, 290486.000000
26, 415813.000000
27, 474841.000000
28, 457276.000000
29, 524413.000000
30, 519829.000000
31, 607975.000000
32, 730333.000000
33, 809788.000000
34, 772246.000000
35, 795764.000000
36, 800041.000000
37, 806059.000000
38, 835610.000000
39, 839701.000000
40, 838785.000000
41, 888735.000000
42, 891883.000000
43, 792466.000000
44, 782317.000000
45, 797787.000000
46, 785573.000000
47, 845463.000000
48, 871840.000000
49, 1099571.000000
50, 1241291.000000
51, 1240490.000000
52, 1452260.000000
53, 949914.000000
54, 892710.000000
55, 990063.000000
56, 1224406.000000
57, 1208985.000000
58, 1216452.000000
59, 1272192.000000
60, 1199786.000000
61, 1186664.000000
62, 1111349.000000
63, 1108124.000000
64, 1087825.000000
65, 1097468.000000
66, 1113349.000000
67, 1172641.000000
68, 1123673.000000
69, 1293248.000000
70, 2064229.000000
71, 1614266.000000
72, 1896910.000000
73, 1532204.000000
74, 1514667.000000
75, 1436502.000000
76, 1502295.000000
77, 1684928.000000
78, 1695238.000000
79, 2421155.000000
80, 1466440.000000
81, 1353848.000000
82, 1447050.000000
83, 1391264.000000
84, 1549682.000000
85, 1428299.000000
86, 1999392.000000
87, 1580513.000000
88, 1524378.000000
89, 1536672.000000
90, 1684341.000000
91, 1668233.000000
92, 1503931.000000
93, 1181177.000000
94, 1137927.000000
95, 1274523.000000
96, 1816229.000000
97, 1716555.000000
98, 3842770.000000
99, 1829459.000000
100, 1726588.000000
101, 1837638.000000
102, 1696090.000000
103, 1810667.000000
104, 1799328.000000
105, 1975230.000000
106, 1903226.000000
107, 2016326.000000
108, 1841883.000000
109, 1826513.000000
110, 1807727.000000
111, 1750405.000000
112, 1986057.000000
113, 2279832.000000
114, 1986811.000000
115, 1986545.000000
116, 1947640.000000
117, 2054689.000000
118, 2276384.000000
119, 2194443.000000
120, 3016949.000000
121, 2183378.000000
122, 2327148.000000
123, 2162838.000000
124, 2197761.000000
125, 2161393.000000
126, 2118451.000000
127, 2242453.000000
128, 2566324.000000
129, 2531315.000000
130, 2279909.000000
131, 2214518.000000
132, 2226224.000000
133, 2492905.000000
134, 2649680.000000
135, 2133672.000000
136, 1717079.000000
137, 1847475.000000
138, 2279189.000000
139, 2320007.000000
140, 2468383.000000
141, 2476733.000000
142, 2467255.000000
143, 2866162.000000
144, 3894937.000000
145, 2515898.000000
146, 2607674.000000
147, 2877617.000000
148, 2553704.000000
149, 1909048.000000
150, 2129249.000000
151, 3527572.000000
152, 5511221.000000
153, 3917233.000000
154, 4097933.000000
155, 2516697.000000
156, 2422261.000000
157, 1828639.000000
158, 1926022.000000
159, 3176714.000000
160, 2321431.000000
161, 3009918.000000
162, 2049398.000000
163, 2717075.000000
164, 3123136.000000
165, 2722191.000000
166, 2881277.000000
167, 3046168.000000
168, 3247729.000000
169, 3212060.000000
170, 3344981.000000
171, 3155388.000000
172, 3162411.000000
173, 3186383.000000
174, 2979906.000000
175, 3166201.000000
176, 3214264.000000
177, 3380576.000000
178, 3207665.000000
179, 3346730.000000
180, 3065064.000000
181, 3345719.000000
182, 3481914.000000
183, 3216846.000000
184, 3377518.000000
185, 3363843.000000
186, 3257296.000000
187, 3678522.000000
188, 3745372.000000
189, 2302806.000000
190, 2619489.000000
191, 2698177.000000
192, 3047914.000000
193, 3677049.000000
194, 3613106.000000
195, 3553767.000000
196, 3925985.000000
197, 3522376.000000
198, 4498870.000000
199, 3575129.000000
200, 3563161.000000
201, 3980087.000000
202, 5716997.000000
203, 3578982.000000
204, 3917396.000000
205, 3920099.000000
206, 3707092.000000
207, 3818221.000000
208, 3751256.000000
209, 3941865.000000
210, 4121773.000000
211, 3763352.000000
212, 4435784.000000
213, 4104868.000000
214, 3797586.000000
215, 3824164.000000
216, 4224408.000000
217, 3733322.000000
218, 4092194.000000
219, 4339470.000000
220, 2653790.000000
221, 2693724.000000
222, 3188896.000000
223, 3175901.000000
224, 2717390.000000
225, 2466717.000000
226, 2502363.000000
227, 3066129.000000
228, 3199293.000000
229, 2985667.000000
230, 2901645.000000
231, 3261423.000000
232, 3906059.000000
233, 3094558.000000
234, 2722365.000000
235, 2828398.000000
236, 5426934.000000
237, 3113179.000000
238, 3355752.000000
239, 3388154.000000
240, 3317337.000000
241, 2888752.000000
242, 2863027.000000
243, 2595068.000000
244, 2915997.000000
245, 3462918.000000
246, 3593745.000000
247, 3079686.000000
248, 3418904.000000
249, 3455949.000000
250, 2843977.000000
251, 2958157.000000
252, 2834116.000000
253, 3384367.000000
254, 3749075.000000
255, 3379223.000000
256, 3240848.000000
257, 3802339.000000
258, 3713537.000000
259, 3070851.000000
260, 3121896.000000
261, 3325895.000000
262, 5307118.000000
263, 4380855.000000
264, 4689178.000000
265, 4560482.000000
266, 4503529.000000
267, 4748994.000000
268, 5921468.000000
269, 5105053.000000
270, 5353156.000000
271, 5582881.000000
272, 4912130.000000
273, 5186900.000000
274, 5327538.000000
275, 5722270.000000
276, 5178240.000000
277, 5527893.000000
278, 5604663.000000
279, 4370494.000000
280, 6267541.000000
281, 6079083.000000
282, 5499292.000000
283, 5637610.000000
284, 6905366.000000
285, 5896580.000000
286, 6601683.000000
287, 6108666.000000
288, 5085976.000000
289, 6399120.000000
290, 5353478.000000
291, 4736003.000000
292, 7270349.000000
293, 3912324.000000
294, 5930903.000000
295, 6354967.000000
296, 6434654.000000
297, 7068186.000000
298, 5755702.000000
299, 5784560.000000
300, 5518947.000000
301, 6295620.000000
302, 5215412.000000
303, 6023206.000000
304, 5543997.000000
305, 6186248.000000
306, 5754925.000000
307, 5759679.000000
308, 6136298.000000
309, 5456033.000000
310, 6272587.000000
311, 6152642.000000
312, 5935567.000000
313, 5566892.000000
314, 7143494.000000
315, 6110537.000000
316, 6407455.000000
317, 5902302.000000
318, 8564452.000000
319, 8812011.000000
320, 6937453.000000
321, 5933368.000000
322, 6089856.000000
323, 6219434.000000
324, 7464307.000000
325, 5394961.000000
326, 6258317.000000
327, 6008251.000000
328, 6699061.000000
329, 6364067.000000
330, 6353774.000000
331, 5244028.000000
332, 4118263.000000
333, 4098330.000000
334, 4694064.000000
335, 4812090.000000
336, 4646004.000000
337, 4784103.000000
338, 4148519.000000
339, 4729111.000000
340, 4727995.000000
341, 4324250.000000
342, 4648042.000000
343, 5333403.000000
344, 4602996.000000
345, 4744893.000000
346, 5771978.000000
347, 4723005.000000
348, 5131209.000000
349, 4671157.000000
350, 5245468.000000
351, 4476958.000000
352, 4674940.000000
353, 4659705.000000
354, 5774830.000000
355, 4894415.000000
356, 4648801.000000
357, 5049695.000000
358, 5249566.000000
359, 6133085.000000
360, 4935681.000000
361, 4890886.000000
362, 4594843.000000
363, 5486370.000000
