Workload size, Turnaround time P1, Turnaround time P2
8000, 6246664.000000, 6235158.000000
125000, 6518385.000000, 6352692.000000
1000000, 6399833.000000, 6253739.000000
125000000, 14751333.000000, 58222093.000000
1000000000, 39958496.000000, 337060601.000000
