No.of threads, Time
1, 2328979.000000
2, 1192178.000000
3, 920682.000000
4, 719716.000000
5, 637824.000000
6, 1579118.000000
7, 824931.000000
8, 689574.000000
9, 969873.000000
10, 1019427.000000
11, 2949406.000000
12, 820554.000000
13, 1022152.000000
14, 603394.000000
15, 811672.000000
16, 519277.000000
17, 600062.000000
18, 621266.000000
19, 575934.000000
20, 554001.000000
21, 617927.000000
22, 644898.000000
23, 607662.000000
24, 641260.000000
25, 630396.000000
26, 640652.000000
27, 741878.000000
28, 707563.000000
29, 688414.000000
30, 641707.000000
31, 710687.000000
32, 766329.000000
33, 1091975.000000
34, 846237.000000
35, 838824.000000
36, 1435494.000000
37, 1585459.000000
38, 847536.000000
39, 947578.000000
40, 2610958.000000
41, 960601.000000
42, 2023310.000000
43, 882349.000000
44, 950774.000000
45, 902258.000000
46, 915763.000000
47, 933596.000000
48, 880493.000000
49, 939652.000000
50, 957053.000000
51, 986787.000000
52, 1071802.000000
53, 1960601.000000
54, 1191772.000000
55, 1308688.000000
56, 1094508.000000
57, 2000072.000000
58, 1179045.000000
59, 1052458.000000
60, 1041960.000000
61, 1068285.000000
62, 1100783.000000
63, 1118318.000000
64, 1168364.000000
65, 1183230.000000
66, 1170898.000000
67, 1216776.000000
68, 1731359.000000
69, 1898696.000000
70, 1327130.000000
71, 1376509.000000
72, 1321871.000000
73, 1319571.000000
74, 1306018.000000
75, 1361570.000000
76, 1430273.000000
77, 1373413.000000
78, 1678605.000000
79, 1635556.000000
80, 1518735.000000
81, 5427049.000000
82, 8394627.000000
83, 1552514.000000
84, 1505443.000000
85, 1659522.000000
86, 1643620.000000
87, 1689653.000000
88, 1681042.000000
89, 1778271.000000
90, 2475696.000000
91, 1876108.000000
92, 1705973.000000
93, 1634153.000000
94, 1693325.000000
95, 2454121.000000
96, 1448394.000000
97, 1470576.000000
98, 1825584.000000
99, 1678229.000000
100, 1774903.000000
101, 1798468.000000
102, 1877145.000000
103, 1833484.000000
104, 1889576.000000
105, 1874666.000000
106, 1918613.000000
107, 2047389.000000
108, 2038099.000000
109, 2283709.000000
110, 2065653.000000
111, 1925812.000000
112, 1976722.000000
113, 2108473.000000
114, 2510529.000000
115, 2349582.000000
116, 2420057.000000
117, 1716342.000000
118, 1808230.000000
119, 2685521.000000
120, 2001262.000000
121, 2104722.000000
122, 2238863.000000
123, 2335059.000000
124, 2206779.000000
125, 2213994.000000
126, 2204156.000000
127, 2661227.000000
128, 3411751.000000
129, 2660587.000000
130, 2437903.000000
131, 2388895.000000
132, 2299194.000000
133, 2306263.000000
134, 2371794.000000
135, 2456669.000000
136, 2769389.000000
137, 2402517.000000
138, 2720652.000000
139, 2438149.000000
140, 2597780.000000
141, 2698275.000000
142, 2509782.000000
143, 2549946.000000
144, 2861370.000000
145, 2763437.000000
146, 2566966.000000
147, 2777059.000000
148, 2779994.000000
149, 2723182.000000
150, 2773232.000000
151, 2755424.000000
152, 3733548.000000
153, 2927871.000000
154, 3033408.000000
155, 2765369.000000
156, 1822503.000000
157, 1757800.000000
158, 2236132.000000
159, 2102329.000000
160, 2424423.000000
161, 3051361.000000
162, 3240566.000000
163, 3233171.000000
164, 3154372.000000
165, 2941706.000000
166, 3191228.000000
167, 3457124.000000
168, 3042638.000000
169, 2990102.000000
170, 3005417.000000
171, 3146227.000000
172, 3203940.000000
173, 3270307.000000
174, 3131037.000000
175, 3614407.000000
176, 3364651.000000
177, 3165698.000000
178, 3316687.000000
179, 3063675.000000
180, 3499077.000000
181, 4196200.000000
182, 3303111.000000
183, 3226017.000000
184, 3441920.000000
185, 3868988.000000
186, 3659577.000000
187, 3495951.000000
188, 4006084.000000
189, 3569325.000000
190, 3134961.000000
191, 3474005.000000
192, 3811478.000000
193, 3536905.000000
194, 3955638.000000
195, 3619735.000000
196, 3594817.000000
197, 3530853.000000
198, 3808278.000000
199, 4809278.000000
200, 3868403.000000
201, 4149997.000000
202, 3920126.000000
203, 4757402.000000
204, 3822532.000000
205, 3722639.000000
206, 3940874.000000
207, 4274005.000000
208, 3710796.000000
209, 4112501.000000
210, 4700753.000000
211, 4075729.000000
212, 4052110.000000
213, 3757950.000000
