No.of threads, Time
1, 178103307.000000
2, 94692535.000000
3, 66549381.000000
4, 53413665.000000
5, 47638492.000000
6, 46215072.000000
7, 42795248.000000
8, 35532675.000000
9, 31358489.000000
10, 32865093.000000
11, 26854553.000000
12, 25501591.000000
13, 30169141.000000
14, 27241338.000000
15, 28373337.000000
16, 26282025.000000
17, 31958650.000000
18, 22326862.000000
19, 31216355.000000
20, 31637938.000000
21, 27724115.000000
22, 29192620.000000
23, 27548979.000000
24, 30340779.000000
25, 35849120.000000
26, 39188721.000000
27, 37386800.000000
28, 38130761.000000
29, 36323407.000000
30, 25124475.000000
31, 31774733.000000
32, 26404180.000000
33, 27394002.000000
34, 28475116.000000
35, 35615434.000000
36, 32686232.000000
37, 38885397.000000
38, 26903598.000000
39, 32587796.000000
40, 38402300.000000
41, 41276575.000000
42, 32314028.000000
43, 40074774.000000
44, 26529344.000000
45, 30129739.000000
46, 45613545.000000
47, 28020731.000000
48, 26548530.000000
49, 39085408.000000
50, 31016679.000000
51, 29062266.000000
52, 31051052.000000
53, 35155617.000000
54, 30200884.000000
55, 26801689.000000
56, 36824722.000000
57, 26265201.000000
58, 28041004.000000
59, 32409647.000000
60, 31775840.000000
61, 33758145.000000
62, 42481587.000000
63, 26791564.000000
64, 30034859.000000
65, 32531697.000000
66, 34599461.000000
67, 34202740.000000
68, 35617473.000000
69, 37634814.000000
70, 33601919.000000
71, 34440871.000000
72, 28279014.000000
73, 29214181.000000
74, 31665419.000000
75, 24353255.000000
76, 31241620.000000
77, 35847645.000000
78, 38341235.000000
79, 28869391.000000
80, 25890135.000000
81, 28737007.000000
82, 27222589.000000
83, 33692966.000000
84, 28576562.000000
85, 37817508.000000
86, 32879645.000000
87, 34578118.000000
88, 33636693.000000
89, 27307033.000000
90, 26975821.000000
91, 36409619.000000
92, 34135338.000000
93, 33715745.000000
94, 37208098.000000
95, 35725618.000000
96, 37664763.000000
97, 29677803.000000
98, 26784264.000000
99, 34140876.000000
100, 29223692.000000
101, 43244365.000000
102, 23979707.000000
103, 35965042.000000
104, 34205687.000000
105, 36539355.000000
106, 28981951.000000
107, 34262209.000000
108, 25950781.000000
109, 33835035.000000
110, 32711099.000000
111, 37174797.000000
112, 36591890.000000
113, 33117343.000000
114, 35813688.000000
115, 30821863.000000
116, 29338283.000000
117, 36055778.000000
118, 29085517.000000
119, 34984503.000000
120, 23196268.000000
121, 29612806.000000
122, 43427143.000000
123, 40326329.000000
124, 33764354.000000
125, 38017097.000000
126, 38801083.000000
127, 38974231.000000
128, 36844059.000000
129, 25844937.000000
130, 32901808.000000
131, 37494263.000000
132, 37565258.000000
133, 33935891.000000
134, 34517650.000000
135, 36362840.000000
136, 37340949.000000
137, 36079557.000000
138, 32078788.000000
139, 39789155.000000
140, 35182160.000000
141, 36633975.000000
142, 36076363.000000
143, 27142566.000000
144, 34091942.000000
145, 32877580.000000
146, 35757911.000000
147, 36078961.000000
148, 33802404.000000
149, 38901299.000000
150, 33875683.000000
151, 37799339.000000
152, 42389934.000000
153, 35216637.000000
154, 32492366.000000
155, 39008380.000000
156, 35397288.000000
157, 37588617.000000
158, 32252290.000000
159, 35540080.000000
160, 32892032.000000
161, 34906352.000000
162, 27947155.000000
163, 42686854.000000
164, 31928703.000000
165, 38640936.000000
166, 34997895.000000
167, 36781864.000000
168, 50079855.000000
169, 36686181.000000
170, 40420272.000000
171, 35636580.000000
172, 35541328.000000
173, 37489489.000000
174, 38520004.000000
175, 31370162.000000
176, 45089152.000000
177, 30763723.000000
178, 33577681.000000
179, 38734335.000000
180, 43395938.000000
181, 33946418.000000
182, 38158067.000000
183, 40140680.000000
184, 34714515.000000
185, 38589263.000000
186, 38464937.000000
187, 37119260.000000
188, 36156985.000000
189, 37410605.000000
190, 34794806.000000
191, 34084641.000000
192, 35644691.000000
193, 37941309.000000
194, 36387803.000000
195, 37108848.000000
196, 38038674.000000
197, 40403761.000000
198, 35846464.000000
199, 37332388.000000
200, 31188324.000000
201, 42505554.000000
202, 36045678.000000
203, 37121113.000000
204, 36742801.000000
205, 35886448.000000
206, 40408212.000000
207, 34340982.000000
208, 36018403.000000
209, 34019258.000000
210, 36833084.000000
211, 38632793.000000
212, 30533098.000000
213, 39827060.000000
214, 40326836.000000
215, 40166202.000000
216, 36641218.000000
217, 35826870.000000
218, 37732662.000000
219, 37982669.000000
220, 39415624.000000
221, 31785504.000000
222, 42466946.000000
223, 40033983.000000
224, 33570744.000000
225, 38017964.000000
226, 34672555.000000
227, 39799678.000000
228, 35371828.000000
229, 36796660.000000
