No.of threads, Time
1, 1564458.000000
2, 745467.000000
3, 557908.000000
4, 414788.000000
5, 515423.000000
6, 479675.000000
7, 424539.000000
8, 394247.000000
9, 373931.000000
10, 394880.000000
11, 385008.000000
12, 348249.000000
13, 2671311.000000
14, 6047886.000000
15, 891021.000000
16, 1000048.000000
17, 1219421.000000
18, 1046124.000000
19, 1209962.000000
20, 1089051.000000
21, 989671.000000
22, 1257697.000000
23, 1327721.000000
24, 1225876.000000
25, 1235130.000000
26, 1367175.000000
27, 768112.000000
28, 527332.000000
29, 566944.000000
30, 673814.000000
31, 1214465.000000
32, 1288549.000000
33, 668340.000000
34, 584258.000000
35, 589533.000000
36, 642393.000000
37, 2606193.000000
38, 1488890.000000
39, 2958193.000000
40, 1661832.000000
41, 2469568.000000
42, 1320348.000000
43, 1396057.000000
44, 1336160.000000
45, 1342551.000000
46, 1289987.000000
47, 1190741.000000
48, 847250.000000
49, 1083972.000000
50, 888556.000000
51, 875726.000000
52, 924378.000000
53, 1230573.000000
54, 2044031.000000
55, 2238179.000000
56, 2527129.000000
57, 1250080.000000
58, 1133897.000000
59, 1072597.000000
60, 1148859.000000
61, 1095069.000000
62, 847877.000000
63, 961376.000000
64, 997941.000000
65, 849762.000000
66, 975214.000000
67, 877629.000000
68, 811797.000000
69, 715869.000000
70, 777704.000000
71, 883969.000000
72, 877155.000000
73, 887991.000000
74, 982103.000000
75, 1941122.000000
76, 1491650.000000
77, 1304153.000000
78, 1301959.000000
79, 1323907.000000
80, 1543745.000000
81, 1403090.000000
82, 1396116.000000
83, 1421970.000000
84, 1338096.000000
85, 1673874.000000
86, 1906441.000000
87, 1645285.000000
88, 1802971.000000
89, 1509743.000000
90, 1549474.000000
91, 1569432.000000
92, 1873068.000000
93, 1912173.000000
94, 2151574.000000
95, 2099911.000000
96, 1650885.000000
97, 1693136.000000
98, 1346836.000000
99, 1437562.000000
100, 1457117.000000
